YEAR  MO  DA  HR      LAT       LON   CO2 10000
2012   1   1  12  37.1168  -80.0746  0.8810E-09
2012   1   1  12  37.1668  -80.0746  0.3591E-08
2012   1   1  12  37.2168  -80.0746  0.2481E-08
2012   1   1  12  37.2668  -80.0746  0.3328E-08
2012   1   1  12  37.3168  -80.0746  0.2879E-08
2012   1   1  12  37.3668  -80.0746  0.3611E-08
2012   1   1  12  37.4168  -80.0746  0.2768E-08
2012   1   1  12  37.4668  -80.0746  0.1950E-08
2012   1   1  12  37.5168  -80.0746  0.2919E-08
2012   1   1  12  37.5668  -80.0746  0.2439E-08
2012   1   1  12  37.6168  -80.0746  0.2076E-08
2012   1   1  12  37.6668  -80.0746  0.1280E-08
2012   1   1  12  37.7168  -80.0746  0.5887E-09
2012   1   1  12  37.7668  -80.0746  0.1481E-09
2012   1   1  12  36.9668  -80.0246  0.8588E-10
2012   1   1  12  37.0168  -80.0246  0.1719E-09
2012   1   1  12  37.0668  -80.0246  0.1802E-09
