eGRID2012 file generator sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Notes
13705,NC,Water Filter Plant #2,55534,3516,0,OP,IC,DFO,1.6,0,0,0,,1992,
13706,NC,Watts Farm,58317,1,0,OP,PV,SUN,5,0.205091324,8983,0,F923NONK,2012,
13707,NC,Wayne County Energy Complex,7538,2,0,OP,GT,NG,211.8,0,0,0,,2000,
13708,NC,Wayne County Energy Complex,7538,3,0,OP,GT,NG,211.8,0,0,0,,2000,
13709,NC,Wayne County Energy Complex,7538,4,0,OP,GT,NG,211.8,0,0,0,,2000,
13710,NC,Wayne County Energy Complex,7538,5,0,OP,GT,NG,211.8,0,0,0,,2009,
13711,NC,Wayne County Energy Complex,7538,1,0,OP,GT,NG,211.8,0,0,0,,2000,
13712,NC,Westside WWTP,57608,1,0,OP,IC,DFO,1.8,0.000380518,6,0,F923NONK,2005,
13713,NC,Weyerhaeuser New Bern NC,50188,TG1,3,OP,ST,BLQ,29.7,0.802838122,208876,0,F923ST,1969,
13714,NC,White Cross Farm,58341,1,0,T,PV,SUN,5,0,0,0,,2013,
13715,NC,Wilson Farm 1,58342,1,0,T,PV,SUN,5,0,0,0,,2013,
13716,NC,Woodfin,56849,1,0,IP,GT,NG,45.5,0,0,0,,,
13717,NC,Works 53,58046,1,0,SB,IC,DFO,1,0,0,0,,1967,
13718,NC,Works 53,58046,2,0,SB,IC,DFO,1.2,0,0,0,,1975,
13719,NC,Works 53,58046,3,0,SB,IC,DFO,1.5,0,0,0,,1988,
13720,NC,WSACC Power Generation Facility,58518,1,0,V,ST,SLW,1.9,0,0,0,,2014,
13721,NC,Yanceyville Farm,58343,1,0,T,PV,SUN,5,0,0,0,,2013,
13722,ND,American Crystal Sugar Drayton,54213,G1,0,OP,ST,SUB,6,0,0,0,F923NONK,1965,
13723,ND,American Crystal Sugar Hillsboro,54210,G1,1,OP,ST,SUB,13.3,0.509844818,59401,0,F923ST,1990,
13724,ND,Antelope Valley,6469,1,1,OP,ST,LIG,434.9,0.830453072,3163797,0,F923ST,1984,
13725,ND,Antelope Valley,6469,2,1,OP,ST,LIG,434.9,0.842026614,3207889,0,F923ST,1986,
13726,ND,Ashtabula Wind Energy Center,57032,1,0,OP,WT,WND,48,0.368348078,154883,0,F923NONK,2008,
13727,ND,Ashtabula Wind II LLC,57121,1,0,OP,WT,WND,120,0.382307839,401882,0,F923NONK,2009,
13728,ND,Ashtabula Wind III LLC,57387,GE16,0,OP,WT,WND,62.4,0.374996341,204982,0,F923NONK,2010,
13729,ND,Baldwin Wind LLC,57347,GE1,0,OP,WT,WND,102.4,0.402736159,361264,0,F923NONK,2010,
13730,ND,Bison 2 Wind Energy Center,57800,BISO2,0,OP,WT,WND,105,0.004828224,4441,0,F923NONK,2012,
13731,ND,Bison 3 Wind Energy Center,57801,BISO3,0,OP,WT,WND,105,0,0,0,F923NONK,2012,
13732,ND,Bison I Wind Energy Center,57038,PHS1,0,OP,WT,WND,36.8,0,0,0,,2010,
13733,ND,Bison I Wind Energy Center,57038,PHS2,0,OP,WT,WND,42.7,0,0,0,,2012,
13734,ND,Cedar Hills,57171,1,0,OP,WT,WND,19.5,0.228287086,38996,0,F923NONK,2010,
13735,ND,Coal Creek,6030,1,1,OP,ST,LIG,604.8,0.878338588,4653480,0,F923ST,1979,
13736,ND,Coal Creek,6030,2,1,OP,ST,LIG,604.8,0.863412147,4574399,0,F923ST,1980,
13737,ND,Coal Creek,6030,3,0,SB,IC,DFO,2,0,0,0,F923NONK,1979,
13738,ND,Coyote,8222,1,1,OP,ST,LIG,450,0.582154744,2294854,0,F923ST,1981,
13739,ND,Dakota Magic,7884,1,0,SB,IC,DFO,1.5,7.61E-05,1,0,F923NONK,2000,
13740,ND,Enderlin,54908,GEN1,0,SB,ST,AB,5.1,0,0,0,,1983,
13741,ND,Enderlin,54908,GEN2,0,SB,ST,AB,4.7,0,0,0,,1983,
13742,ND,FPL Energy Ashtabula Wind LLC,56919,GE15,0,OP,WT,WND,148.5,0.382369356,497409,0,F923NONK,2008,
13743,ND,FPL Energy Burleigh County Wind,56357,GE,0,OP,WT,WND,18,0,0,0,,2006,
13744,ND,FPL Energy Burleigh County Wind,56357,GE15,0,OP,WT,WND,31.5,0,0,0,,2005,
13745,ND,FPL Energy North Dakota Wind I/II,56099,GE15,0,OP,WT,WND,21,0,0,0,,2003,
13746,ND,FPL Energy North Dakota Wind I/II,56099,GE16,0,OP,WT,WND,40.5,0,0,0,,2003,
13747,ND,FPL Energy Oliver Wind I LLC,56392,1,0,OP,WT,WND,50.6,0.382629902,169603,0,F923NONK,2006,
13748,ND,FPL Energy Oliver Wind II LLC,56573,2,0,OP,WT,WND,48,0.407871956,171502,0,F923NONK,2007,
13749,ND,Garrison,2815,1,0,OP,HY,WAT,128,0,0,0,,1956,
